sample	A.OX	AfsA	AMP.binding	ATd	Autoind_synth	Bacteriocin_II	BLS	botH	bt1fas	CAS	Chal_sti_synt_C	Chal_sti_synt_N	Cloacin	Condensation	cyanobactin_synth	cycdipepsynth	DUF1205	DUF692	ectoine_synt	fabH	fom1	ft1fas	Glyco_transf_28	Glycos_transf_1	Glycos_transf_2	goadsporin_like	hglD	hglE	indsynth	IucA_IucC	L_biotic_typeA	Lactococcin_972	LANC_like	Lant_dehyd_C	Lant_dehyd_N	Linocin_M18	LipM	LipV	LmbU	Lycopene_cycl	MGT	micJ25	mvd_mst	NAD_binding_4	NapT7	Neocarzinostat	novH	PF00067	PF00106	PF02441	PF04820	PF13561	PF13575	phosphonates	phytoene_synt	phzB	PKS_AT	PKS_KS	PP.binding	prnB	salQ	spcDK_like_cou	spcDK_like_glyc	strK_like1	strK_like2	subtilosin	t2clf	t2fas	t2ks	t2ks2	tabtoxin	terpene_cyclase	Terpene_synth_C	thiostrepton	TIGR03604	TIGR03651	TIGR03731	TIGR03793	TIGR03795	TIGR03798	TIGR03882	TIGR03975	TIGR04363	ToyB	TunD	vlmB	YcaO
sim_meta-74	468	6	17064	1	27	0	0	0	10	0	29	24	0	1853	0	2	0	111	42	750	0	0	184	2268	2228	0	15	83	7	122	0	0	86	9	4	54	17	1	1	7	552	27	0	1366	9	0	0	1551	3837	308	234	2247	66	16	191	0	1041	1077	749	0	0	2	0	6	0	0	50	1292	79	0	3	64	73	0	0	2	0	0	0	2	0	1	0	0	0	0	207
sim_meta-75	379	0	14932	0	39	0	14	0	50	26	37	61	0	971	0	0	0	104	29	662	0	0	178	2416	2253	0	9	10	0	96	0	0	0	0	0	17	0	2	0	40	109	24	0	1342	4	0	0	710	3255	299	600	1698	0	18	256	2	550	353	438	0	0	5	3	0	0	0	55	1223	60	0	0	65	3	0	0	0	0	0	0	0	0	0	0	0	0	0	114
sim_meta-76	293	2	15651	168	50	0	0	0	24	0	40	38	6	2210	0	0	0	150	5	791	0	0	185	2273	2315	1	21	89	0	57	0	0	58	46	8	23	5	0	0	32	272	36	6	1369	4	0	0	1087	3483	286	322	1930	9	22	335	6	956	1649	882	0	0	3	2	0	0	0	38	1294	32	23	4	35	66	0	0	3	0	0	0	0	9	15	4	4	0	0	308
sim_meta-77	471	1	13151	7	30	1	0	1	20	0	50	69	0	1450	0	0	0	64	40	796	0	0	177	2228	2049	0	0	25	0	114	0	0	36	2	1	19	0	0	0	18	32	9	0	1313	3	0	0	700	3337	231	237	1984	11	3	224	0	683	430	562	0	0	5	6	0	0	0	34	1252	37	0	0	71	10	0	1	0	0	0	0	1	0	3	0	2	0	0	134
sim_meta-78	400	3	17807	30	52	0	0	0	14	0	16	12	0	1462	0	5	0	132	26	577	0	0	201	2332	2133	0	21	90	0	74	0	0	75	121	15	19	0	0	0	16	194	16	3	1274	7	0	0	1413	4143	313	384	2255	9	27	266	1	1437	1779	756	0	0	1	1	0	0	5	46	1191	26	5	4	69	56	0	0	0	0	1	0	3	8	30	4	3	2	7	282
sim_meta-79	335	0	14556	48	19	0	0	0	0	0	27	41	0	1010	0	1	0	136	2	622	0	0	152	2417	2294	0	19	42	30	44	0	1	26	15	5	31	1	3	1	23	297	20	9	1355	11	0	0	1197	3728	267	293	1967	13	9	218	5	1053	1341	609	0	1	3	0	0	0	0	29	1115	64	3	2	44	70	0	0	4	0	0	0	1	8	18	0	0	1	0	169
sim_meta-8	259	0	12459	0	75	0	0	0	16	0	28	32	1	885	10	0	0	91	28	710	0	0	204	2310	2533	0	11	36	0	103	0	0	5	7	0	1	0	0	0	28	143	55	0	1431	1	0	0	542	2815	284	257	1865	7	0	262	0	654	405	465	0	0	5	8	1	0	0	50	1194	51	0	1	52	13	0	0	0	0	0	0	4	0	1	0	0	0	0	192
sim_meta-80	372	1	18924	13	40	0	0	0	0	0	36	53	0	4452	0	4	2	102	13	688	0	0	204	2409	2475	0	20	63	0	118	0	0	30	27	13	19	2	0	0	47	242	21	3	1339	6	0	0	856	3333	314	458	2071	24	14	287	0	1068	1140	1166	0	0	3	1	0	0	0	0	1248	1	0	0	98	7	0	1	0	0	0	0	8	3	0	0	0	2	3	117
sim_meta-81	324	2	19056	0	29	0	3	0	30	6	52	51	0	2564	0	10	0	226	12	631	0	0	220	2220	2255	0	0	64	0	89	0	0	55	5	1	12	8	2	0	79	468	19	7	1275	8	1	0	1561	4919	268	924	2677	54	8	307	0	1235	1201	901	0	10	0	1	0	0	0	64	1177	59	0	5	57	43	0	0	0	0	0	0	1	7	0	0	1	0	0	102
sim_meta-82	566	0	16403	101	32	0	0	0	0	0	40	64	0	1460	0	0	0	137	15	680	0	0	163	2625	2422	0	1	73	0	124	0	3	143	131	26	18	0	0	0	38	365	23	0	1256	5	0	0	1140	4740	303	297	2756	13	10	370	0	920	1302	632	0	0	5	4	0	0	0	81	1248	91	24	0	64	69	0	0	0	0	0	0	0	3	0	1	0	1	14	38
