sample	A.OX	AfsA	AMP.binding	ATd	Autoind_synth	Bacteriocin_II	BLS	botH	bt1fas	CAS	Chal_sti_synt_C	Chal_sti_synt_N	Cloacin	Condensation	cyanobactin_synth	cycdipepsynth	DUF1205	DUF692	ectoine_synt	fabH	fom1	ft1fas	Glyco_transf_28	Glycos_transf_1	Glycos_transf_2	goadsporin_like	hglD	hglE	indsynth	IucA_IucC	L_biotic_typeA	Lactococcin_972	LANC_like	Lant_dehyd_C	Lant_dehyd_N	Linocin_M18	LipM	LipV	LmbU	Lycopene_cycl	MGT	micJ25	mvd_mst	NAD_binding_4	NapT7	Neocarzinostat	novH	PF00067	PF00106	PF02441	PF04820	PF13561	PF13575	phosphonates	phytoene_synt	phzB	PKS_AT	PKS_KS	PP.binding	prnB	salQ	spcDK_like_cou	spcDK_like_glyc	strK_like1	strK_like2	subtilosin	t2clf	t2fas	t2ks	t2ks2	tabtoxin	terpene_cyclase	Terpene_synth_C	thiostrepton	TIGR03604	TIGR03651	TIGR03731	TIGR03793	TIGR03795	TIGR03798	TIGR03882	TIGR03975	TIGR04363	ToyB	TunD	vlmB	YcaO
sim_meta-108	205	2	12436	0	102	0	0	0	0	0	30	35	7	1689	0	0	0	128	22	687	0	0	174	1891	1920	0	20	18	0	157	0	0	26	5	2	11	0	0	0	17	130	52	0	1478	0	0	0	404	3661	312	505	2114	29	12	251	0	648	500	546	0	0	0	0	0	0	0	0	1378	1	2	0	20	0	0	0	2	0	0	0	5	0	0	0	1	0	0	239
sim_meta-109	586	0	15142	152	37	0	0	2	0	0	51	54	0	1795	0	0	0	78	14	542	0	0	166	1734	1788	0	19	26	0	83	0	0	47	99	22	19	0	0	0	16	127	49	11	1245	5	0	0	717	4457	224	265	2529	22	21	107	4	1005	1791	840	0	19	0	3	3	0	0	0	1636	0	19	4	26	50	0	0	11	0	0	0	2	10	59	0	1	0	0	415
sim_meta-11	494	3	17289	0	58	0	0	0	20	0	29	27	0	1971	0	0	0	137	37	690	3	0	193	2367	2369	0	19	61	0	122	0	1	34	3	6	22	20	1	0	15	431	26	0	1393	8	0	0	1221	4037	362	305	2336	17	7	232	0	784	697	681	25	0	2	6	2	0	0	69	1285	62	1	5	89	44	0	0	1	0	3	0	3	1	8	0	0	0	0	194
sim_meta-110	233	0	11638	10	37	0	0	1	0	0	34	35	0	726	0	0	0	95	21	757	0	0	185	2304	2304	0	15	68	0	62	0	0	4	5	2	4	0	0	0	55	102	31	0	1340	1	0	0	524	3416	339	638	2145	0	2	185	0	631	380	401	0	0	3	1	0	0	0	0	1325	4	0	0	45	0	0	0	1	0	0	0	2	0	0	0	1	1	0	159
sim_meta-111	230	0	13761	6	30	0	0	0	18	0	16	21	0	1968	0	0	1	130	11	604	0	0	177	2565	2826	0	2	13	0	112	0	0	13	35	4	6	0	0	0	23	143	17	0	1321	7	0	0	557	3144	355	360	1640	15	14	171	0	829	1059	743	0	5	2	0	1	0	7	26	1031	26	2	1	43	4	0	0	1	0	0	0	4	5	19	0	0	0	0	102
sim_meta-112	274	0	15258	1	55	0	0	0	14	0	16	18	0	2147	0	9	0	131	24	528	0	0	157	2148	2035	0	0	47	0	82	1	0	29	22	6	14	7	0	0	29	186	20	0	1280	7	0	0	730	3512	285	278	2007	48	17	234	0	1045	974	703	0	0	2	1	0	0	0	0	1171	5	0	2	37	15	0	0	0	0	0	9	2	0	0	0	1	2	4	172
sim_meta-113	306	0	14701	127	60	0	0	0	9	0	46	45	0	855	0	0	0	139	10	789	0	0	171	2148	2063	1	22	58	0	79	0	0	10	6	2	41	0	0	0	37	124	16	5	1270	2	0	0	935	4249	266	608	2279	0	33	367	2	684	1075	591	0	0	1	5	0	0	0	18	1233	22	18	2	59	45	0	0	0	0	0	0	0	8	0	0	0	1	0	253
sim_meta-114	509	7	18623	51	18	0	0	5	2	0	50	54	0	3844	0	0	0	113	25	732	0	0	175	2182	2193	1	5	60	0	164	0	0	142	126	32	22	7	1	0	53	218	25	0	1333	12	0	0	953	3876	283	475	2239	69	22	238	0	1260	1772	1151	27	16	3	5	4	0	0	68	1345	53	6	3	28	76	0	0	1	0	0	0	0	1	114	5	5	0	0	242
sim_meta-115	357	2	16682	9	27	0	0	0	0	0	28	23	0	1316	0	0	0	171	17	695	0	0	162	2189	2328	8	39	72	4	42	0	0	16	15	0	13	3	0	0	16	245	10	2	1381	11	0	0	1083	3927	256	332	2027	3	12	247	1	841	803	611	0	0	4	2	2	0	3	17	1327	27	0	2	79	33	0	0	3	0	2	0	3	6	0	0	0	0	0	208
sim_meta-116	413	1	14615	84	30	0	0	0	6	0	53	45	0	864	0	1	0	129	24	806	0	0	211	2400	2329	0	17	45	0	77	0	0	26	16	5	24	7	0	0	21	233	25	3	1356	14	0	0	860	3562	323	514	1869	20	13	199	1	849	1075	559	0	0	4	2	0	0	0	0	1244	3	11	2	39	24	0	0	0	0	0	0	3	8	1	0	0	1	4	181
sim_meta-117	361	2	14158	5	34	0	0	0	0	0	34	28	0	305	0	0	0	112	12	654	0	0	177	2526	2385	1	14	52	0	90	0	1	2	9	0	19	0	0	0	46	143	19	1	1346	6	0	0	542	3254	261	381	1793	7	2	225	0	604	365	368	0	0	4	5	0	0	0	12	1213	11	1	0	71	0	0	0	4	0	0	0	6	4	0	0	0	0	0	160
sim_meta-118	431	4	18261	0	46	0	0	0	0	0	26	29	0	2130	0	0	0	120	29	743	0	0	193	2151	2288	0	17	61	0	131	0	0	46	10	9	63	28	4	0	24	750	22	1	1361	14	0	0	1842	4126	347	194	2287	37	20	238	0	1081	893	841	0	0	3	0	4	0	0	42	1221	46	0	4	41	83	0	0	2	0	0	0	0	0	0	0	0	0	0	206
sim_meta-119	277	0	17322	4	57	0	0	0	0	0	15	15	0	2276	0	0	4	156	14	552	0	0	142	2940	2378	0	0	32	0	9	0	0	34	0	0	30	0	0	0	34	59	5	0	1569	0	0	0	827	3894	259	353	2283	29	0	185	36	482	316	642	0	0	5	0	0	0	0	0	949	5	0	2	5	0	0	0	0	0	0	0	8	0	0	0	1	0	0	49
sim_meta-12	212	4	15723	0	70	0	0	0	20	0	32	8	0	1587	0	0	0	176	3	638	0	0	163	2734	2436	0	54	137	0	128	0	0	121	104	13	0	0	0	0	22	74	11	0	1159	11	0	0	655	3128	295	616	1907	17	35	269	0	789	665	690	0	0	0	0	0	0	0	69	1513	71	0	0	92	25	0	0	0	0	0	0	2	0	25	5	6	0	0	170
sim_meta-120	444	0	18224	4	38	0	0	0	0	0	37	41	0	1708	0	8	1	104	37	653	0	0	178	2850	2559	1	18	83	0	98	0	0	40	56	13	13	12	0	0	21	394	41	0	1296	18	0	0	1387	4302	262	320	2221	24	4	184	0	1472	1825	785	0	2	0	2	0	0	0	38	1076	35	0	2	52	44	0	0	2	0	0	0	7	14	34	0	0	5	4	169
sim_meta-121	437	3	15253	4	37	0	0	0	5	0	30	44	0	1659	0	0	0	132	15	628	3	0	211	2429	2599	1	0	59	0	79	0	0	79	75	15	15	4	0	0	8	298	6	3	1327	12	0	0	874	3530	236	356	2056	31	11	262	0	739	643	676	0	9	2	2	3	0	0	43	1194	51	0	0	72	41	0	0	0	0	0	6	4	6	40	5	1	1	0	173
sim_meta-122	422	5	16062	37	30	0	0	4	2	0	40	38	0	2332	0	6	0	112	37	732	0	0	181	2107	2186	0	6	48	0	111	0	0	49	75	15	3	13	1	0	34	229	29	7	1337	11	0	0	867	4143	268	430	2162	27	7	251	0	1306	1564	905	0	11	4	3	0	1	0	6	1226	8	3	1	30	31	0	0	0	0	0	0	2	0	37	0	1	3	6	167
sim_meta-123	166	0	13771	0	43	0	15	1	0	23	25	48	0	1070	8	0	0	243	24	677	0	0	160	2260	2038	0	33	86	0	69	0	0	1	0	0	13	0	4	0	38	89	26	0	1437	1	0	0	601	3375	262	760	1971	2	0	231	6	523	204	456	0	0	8	1	0	0	0	23	1259	39	0	0	70	0	0	0	3	0	0	0	3	0	0	0	0	0	0	194
sim_meta-124	399	0	14641	0	22	0	0	0	26	0	36	39	0	1061	0	0	0	52	27	619	0	0	229	2545	2422	0	3	9	0	145	0	0	39	133	28	27	0	0	0	29	51	23	0	1250	15	0	0	681	3270	354	532	1692	29	2	240	0	1073	1141	635	0	38	0	3	4	0	0	7	1134	1	0	0	0	30	0	0	0	0	0	0	0	0	127	0	0	0	0	131
sim_meta-125	316	0	14997	4	34	0	0	0	0	0	27	36	0	1310	0	0	1	141	13	691	0	0	168	2157	2142	15	9	9	0	120	0	0	9	0	1	34	0	0	0	49	85	9	0	1458	6	0	0	614	3570	303	350	1977	12	21	238	0	538	457	487	0	0	3	2	0	0	0	39	1151	49	0	0	67	2	0	0	3	0	10	0	3	4	0	0	0	1	0	125
sim_meta-126	400	0	13316	14	105	0	0	2	13	0	33	38	5	1617	0	0	0	84	10	694	0	2	157	2062	1985	0	20	50	0	86	0	0	29	36	12	9	0	0	0	30	141	8	1	1263	12	0	1	700	3690	320	421	2150	3	8	258	0	620	360	549	0	2	3	5	1	0	0	10	1390	4	7	4	48	16	0	0	0	0	2	0	4	0	29	0	0	0	0	173
sim_meta-127	467	0	15560	0	50	0	0	0	27	0	47	44	0	1453	0	7	0	109	40	771	0	0	185	2571	2217	0	33	96	0	147	0	0	35	1	0	0	0	0	0	30	302	39	0	1219	10	2	0	1068	3332	316	308	1921	17	0	318	0	1035	811	655	0	11	3	2	0	0	0	57	1179	71	0	3	58	31	0	0	0	0	0	0	0	6	0	0	0	0	0	130
sim_meta-128	252	1	14258	114	42	0	0	0	20	0	39	44	0	2690	0	1	0	71	3	696	0	0	150	2397	2242	0	17	48	0	107	0	0	62	53	13	15	0	1	0	35	152	38	1	1357	2	0	0	532	3439	260	294	1976	13	13	255	0	821	1207	772	0	0	0	0	0	0	2	0	1242	1	14	1	37	37	0	0	0	0	0	0	1	4	4	0	0	0	0	121
sim_meta-129	443	1	18297	39	41	0	0	0	0	0	65	77	9	1140	0	0	0	124	27	693	0	0	172	2088	1883	0	46	78	3	60	0	0	20	9	2	15	0	0	0	15	172	42	4	1084	4	0	0	1151	4259	296	434	2235	0	33	173	9	975	1189	609	0	0	6	3	0	0	0	60	1067	72	0	0	12	42	0	0	0	0	0	0	0	7	0	0	1	0	0	228
sim_meta-13	512	3	18159	28	31	0	0	0	44	0	24	19	0	1788	0	0	0	166	15	608	0	0	202	2187	1856	0	13	65	2	82	0	0	86	60	12	29	3	1	0	9	444	31	6	1132	13	0	0	1914	4312	261	424	2440	17	13	211	5	1300	1655	870	0	0	1	0	0	0	0	43	1196	35	0	4	43	91	0	0	3	0	0	0	3	10	30	1	0	0	17	221
sim_meta-130	392	2	18253	2	60	0	0	0	0	0	31	45	0	2052	0	4	0	92	17	649	0	0	195	2355	2170	0	3	29	6	138	0	0	23	23	10	11	0	0	1	26	103	12	0	1325	4	0	0	797	4517	291	612	2501	11	31	299	0	985	1001	712	4	0	5	6	0	0	0	10	1171	16	0	1	70	28	0	0	0	0	0	6	2	0	2	0	0	0	0	135
sim_meta-131	388	6	14790	137	48	0	0	0	0	0	42	38	0	2931	0	0	0	104	9	741	0	0	190	2500	2471	0	0	55	0	92	0	0	86	48	15	0	0	0	0	60	166	25	0	1508	3	0	0	583	3616	300	227	2064	0	9	260	0	715	937	851	0	0	2	0	0	0	0	12	1247	19	20	1	86	39	0	0	0	0	0	0	0	0	0	0	0	1	0	157
sim_meta-132	420	4	17626	1	60	0	0	3	0	0	46	47	0	1571	0	1	0	54	15	657	0	0	181	2667	2339	1	2	43	0	126	0	0	52	50	9	10	4	0	0	41	246	6	0	1433	7	0	0	924	4210	282	404	2488	9	27	374	0	921	805	629	0	0	4	1	0	0	4	48	1212	49	1	1	54	16	0	0	1	0	0	6	1	0	6	2	1	2	2	150
sim_meta-133	212	0	13317	2	39	0	2	2	6	6	23	13	0	1067	0	0	0	177	16	647	0	0	166	2368	2097	0	15	46	0	93	0	0	3	4	1	26	0	0	0	23	106	26	1	1420	4	0	0	469	3055	303	392	1775	8	19	214	8	579	312	473	0	0	0	0	0	0	2	7	1309	6	1	0	79	0	0	0	2	0	0	0	5	0	0	0	1	0	0	144
sim_meta-134	226	0	15830	4	58	0	0	1	2	0	19	29	0	1011	15	0	0	197	54	668	0	0	177	2045	1546	0	48	51	0	65	0	0	9	4	1	20	0	0	0	14	95	4	2	1282	1	0	0	425	4017	303	896	2210	11	15	203	0	539	356	423	0	0	1	1	0	0	0	0	1285	3	0	1	5	0	0	0	0	0	0	9	0	0	0	0	1	0	0	213
sim_meta-135	267	0	15320	0	32	0	0	0	4	0	18	18	0	1339	0	13	0	148	17	671	0	0	178	2233	2241	0	13	49	0	63	0	0	15	29	9	21	0	1	0	32	116	15	0	1240	13	0	0	878	3362	275	366	1824	17	13	239	5	1161	1229	657	0	0	4	3	0	0	0	8	1396	19	0	3	60	25	0	0	0	0	0	0	6	0	3	0	1	5	0	94
sim_meta-136	357	0	14251	7	75	0	6	0	8	9	21	40	0	826	0	0	1	87	21	785	0	0	207	2400	2079	0	5	14	0	102	0	1	4	0	0	13	0	3	0	1	153	46	0	1408	3	0	0	711	3398	308	272	2204	1	8	352	2	625	310	420	0	0	3	1	0	0	0	17	1331	28	0	1	93	0	0	0	0	0	0	0	4	8	38	0	0	0	0	177
sim_meta-137	509	4	16550	3	24	0	0	1	36	0	27	41	0	1903	0	2	0	142	24	693	0	0	221	2211	2254	0	0	41	0	108	0	0	34	44	9	49	25	2	0	34	479	18	0	1346	19	0	0	1404	4088	247	467	2290	37	21	217	0	1288	1477	847	12	0	1	2	5	0	0	42	1205	34	0	1	55	69	0	0	3	0	0	0	2	1	0	0	0	5	0	182
sim_meta-138	389	0	17372	17	36	0	0	0	10	0	29	42	1	1868	0	2	0	115	27	705	0	0	204	2345	2217	1	10	37	16	104	0	0	35	44	5	19	0	0	1	40	186	14	4	1237	12	0	0	1100	3622	310	366	1963	6	19	203	2	995	1073	688	0	0	0	1	0	0	0	19	1214	36	0	1	84	30	0	0	1	0	1	0	0	5	0	2	1	0	7	114
sim_meta-139	489	5	18699	7	37	0	0	0	0	0	51	57	2	2692	0	6	0	111	13	757	0	0	181	2317	2318	0	9	62	0	170	0	1	92	101	23	23	5	1	0	43	225	57	2	1299	12	0	0	1088	3958	268	366	2252	27	18	269	0	1474	1722	982	0	0	2	0	0	0	0	52	1075	45	0	1	74	69	0	0	0	0	0	0	0	0	9	3	3	12	16	84
sim_meta-14	532	0	14486	0	50	0	0	0	9	0	37	17	0	1360	0	8	0	56	11	467	0	0	168	2090	2011	0	0	40	0	138	1	0	18	29	3	20	0	0	0	61	180	47	0	1274	9	0	0	1007	3879	291	247	2630	8	9	247	7	959	703	592	8	0	1	2	0	0	0	1	1233	4	0	1	83	11	0	0	4	0	0	0	8	11	52	0	0	3	0	130
sim_meta-140	421	0	13983	26	56	0	0	2	30	0	35	50	0	1008	0	2	0	60	20	638	0	0	185	2360	2320	0	8	23	11	107	0	0	38	49	7	7	0	0	1	26	161	30	0	1204	9	0	0	718	3694	283	321	2129	14	2	252	0	841	863	503	0	6	7	1	2	0	0	11	1168	24	2	0	50	34	1	0	1	0	0	0	2	0	41	0	0	0	0	152
sim_meta-141	296	5	14699	4	27	0	0	0	23	0	18	37	0	1755	0	7	0	205	22	767	1	0	200	2157	2183	1	4	35	0	106	0	0	34	34	5	3	5	0	0	42	84	15	0	1400	10	0	1	535	3202	285	546	1870	43	5	196	3	1035	962	733	13	0	2	1	0	0	0	1	1237	1	0	1	30	9	0	0	6	0	0	0	3	0	0	0	2	3	2	120
sim_meta-142	398	2	17026	3	48	0	0	1	4	0	27	22	0	1147	0	11	0	132	18	636	0	0	179	2448	2154	6	7	61	0	88	0	0	14	38	3	21	12	0	0	49	273	11	2	1329	13	0	0	1203	4304	285	549	2421	20	12	293	0	1137	1142	575	0	0	0	3	0	0	0	7	1162	9	0	0	105	32	0	0	0	0	1	8	4	6	27	0	0	5	4	155
sim_meta-143	483	9	15428	4	72	0	0	1	0	0	51	52	8	1722	4	2	0	118	19	746	0	0	209	2174	2172	0	3	23	0	89	0	0	51	19	2	17	8	0	0	37	221	12	0	1231	12	0	0	1070	3920	311	473	2333	39	9	293	0	982	913	684	3	0	3	3	0	0	0	20	1434	27	0	0	73	28	0	1	1	0	0	0	0	0	9	0	2	4	2	169
sim_meta-144	222	0	14815	229	48	0	0	0	0	0	42	67	0	1157	0	0	0	229	12	710	0	0	153	2576	2373	11	25	87	0	106	0	0	19	20	8	23	0	0	0	17	214	5	18	1522	0	0	0	679	3283	233	245	1744	0	19	129	6	749	1943	755	0	0	0	0	0	0	0	1	1103	5	32	5	45	63	0	0	0	0	2	0	0	10	0	0	0	1	0	286
sim_meta-145	446	2	16921	62	22	0	0	1	12	0	51	43	0	2637	0	6	0	78	20	693	0	0	166	2200	2156	0	12	76	0	81	0	0	59	62	21	14	0	0	0	53	261	19	0	1240	14	0	0	1012	4163	226	333	2361	21	24	228	0	1309	1639	889	0	0	0	0	0	0	0	12	1217	1	12	3	53	44	0	0	5	0	0	0	5	4	26	0	0	9	0	131
sim_meta-146	465	3	17259	109	60	0	0	0	0	0	38	37	10	2319	0	0	0	147	29	767	1	0	164	2431	2343	0	20	47	0	117	0	0	60	11	11	47	13	0	0	21	430	43	7	1357	8	0	0	1538	4186	236	326	2214	34	26	175	5	1141	1841	904	0	0	3	0	0	0	5	17	1213	22	12	5	13	78	0	0	2	0	0	0	0	13	0	0	0	0	0	248
sim_meta-147	470	3	19530	6	14	0	0	0	11	0	40	42	0	2957	0	11	0	110	15	656	0	0	181	2596	2554	0	9	65	32	100	0	0	62	104	29	2	13	1	8	41	316	7	1	1330	33	0	0	1334	4263	281	447	2092	47	1	216	0	2102	2910	1139	0	14	5	4	0	0	0	32	1150	47	0	6	57	72	0	0	1	0	0	0	0	0	67	0	0	10	8	182
sim_meta-148	448	0	19400	16	9	0	0	0	9	0	38	45	0	1648	0	0	0	79	3	710	0	0	165	2832	2307	0	30	32	2	181	0	0	38	132	34	4	0	0	0	37	230	6	7	1279	27	0	0	1055	3839	280	357	1740	28	5	229	2	1274	1823	774	0	37	2	6	6	0	0	73	842	97	0	1	28	45	1	0	0	0	0	0	2	8	109	0	0	0	0	207
sim_meta-149	471	1	15480	2	54	0	0	0	23	0	18	25	0	1409	5	1	0	134	25	680	4	0	197	2288	2115	0	17	72	8	85	0	0	83	60	7	27	6	4	0	33	281	18	1	1280	8	0	0	1314	3985	241	423	2270	11	5	281	0	956	945	702	0	0	1	3	0	0	0	46	1309	60	1	2	62	50	0	0	2	0	0	0	2	1	5	1	0	0	8	157
sim_meta-15	372	1	17060	40	53	0	3	0	31	3	41	23	0	2468	3	5	0	113	48	617	0	0	175	2435	2139	0	4	79	0	139	0	0	32	39	13	24	0	0	0	33	238	32	10	1337	12	0	0	807	4204	271	420	2372	22	31	266	0	1071	1143	791	0	0	3	1	0	0	0	31	1169	14	8	0	77	27	0	0	0	0	0	0	1	0	1	0	0	0	0	144
sim_meta-150	344	5	15967	9	53	0	0	0	0	0	38	29	0	3373	0	0	0	188	39	620	0	0	223	2385	2315	6	0	42	0	201	0	0	11	11	4	2	0	0	0	5	51	17	0	1308	3	0	0	490	3417	363	367	1850	0	20	230	4	711	502	818	0	0	5	0	0	0	0	0	1382	2	0	0	133	0	0	0	0	0	0	0	11	2	0	0	0	1	0	198
sim_meta-16	388	1	16513	0	70	0	9	0	21	8	23	30	0	580	0	0	0	77	24	770	0	0	157	2251	2079	0	23	69	0	72	0	0	5	7	1	40	3	2	0	44	228	13	6	1218	4	0	0	1042	4034	264	271	2499	3	17	315	0	579	274	408	0	0	0	2	0	0	0	34	1214	57	0	0	63	9	0	0	0	0	0	0	5	14	35	0	1	0	0	141
sim_meta-17	446	0	17647	14	44	0	0	0	2	0	30	44	0	1641	0	16	0	81	22	623	0	0	195	2216	2233	0	22	88	0	104	0	0	31	120	19	7	0	0	0	19	278	8	1	1262	19	0	0	1093	4905	314	324	2572	33	47	241	0	1995	2725	888	0	9	2	3	1	0	0	7	1370	2	6	4	82	49	1	0	1	0	0	0	2	0	47	0	0	9	0	172
sim_meta-18	215	2	13647	3	73	0	0	0	8	0	25	20	0	1288	4	0	0	143	30	746	5	0	193	2509	2253	0	17	52	0	121	0	0	43	41	10	16	0	0	0	25	83	21	0	1429	9	0	0	431	3130	342	594	1708	0	11	268	0	643	413	579	0	0	4	1	0	0	0	27	1312	22	0	0	56	12	0	0	1	0	0	0	3	0	5	4	3	0	0	191
sim_meta-19	245	0	13605	1	30	0	0	0	57	0	19	21	0	1866	0	0	0	150	2	707	0	0	170	2126	2153	1	0	44	0	129	0	0	5	21	8	11	0	0	0	25	173	7	10	1403	4	0	0	374	3381	265	345	1993	1	6	212	0	595	428	554	0	0	1	1	0	0	0	0	1309	1	0	0	52	0	0	0	0	0	0	0	7	0	8	0	0	0	0	106
sim_meta-2	393	2	18855	144	35	0	0	0	0	0	44	45	0	2731	0	11	0	149	18	674	0	0	179	2364	1913	0	9	72	0	72	1	0	109	92	24	53	24	0	0	69	580	18	1	1135	19	0	0	1856	4515	257	274	2546	50	6	256	4	1617	2443	1075	0	0	3	0	3	0	0	36	1074	28	32	0	18	109	0	0	0	0	0	0	1	3	0	0	0	10	9	176
sim_meta-20	472	2	16699	6	19	0	0	1	27	0	52	38	0	2021	0	9	0	105	32	651	0	0	218	2416	2604	1	13	92	0	90	0	0	56	88	21	32	8	1	0	26	401	22	0	1336	21	0	0	1310	3954	295	431	2000	35	11	246	0	1539	1835	821	0	12	3	3	2	0	2	33	1066	45	0	4	72	55	0	0	0	0	0	0	4	5	38	0	2	5	0	188
sim_meta-21	360	0	15781	66	55	0	0	0	12	0	27	41	0	1560	0	0	0	147	16	631	0	0	161	2181	1969	0	15	36	0	119	0	0	14	21	7	9	0	0	0	12	189	12	1	1336	5	0	0	728	4164	260	609	2270	8	23	259	1	717	1065	659	2	9	6	5	0	0	0	26	1315	34	8	0	18	16	0	0	4	0	0	12	0	5	21	0	1	0	0	195
sim_meta-22	316	6	19096	22	28	0	0	0	0	0	30	12	0	2209	0	11	0	136	4	708	0	0	205	2148	2181	0	13	110	3	53	0	0	126	100	19	29	0	0	0	39	341	18	9	1340	4	0	0	1674	4390	296	338	2116	66	57	312	4	1790	2254	948	0	17	2	3	0	0	0	49	1022	62	0	8	101	85	0	0	0	0	0	0	2	13	9	4	4	2	5	236
sim_meta-23	308	1	14594	65	54	0	0	0	9	0	31	40	7	1646	0	0	0	74	8	536	0	0	176	2117	2256	0	0	28	0	112	0	0	45	37	4	0	0	0	0	43	142	12	0	1240	2	0	0	575	4249	276	390	2490	0	5	267	0	626	603	591	9	0	1	2	0	0	4	19	1318	23	13	0	43	24	0	0	2	0	0	4	3	3	0	0	2	1	0	182
sim_meta-24	338	1	16175	0	55	0	22	0	0	23	54	27	0	1992	0	0	0	66	18	665	0	0	175	2057	2532	0	0	34	0	67	0	0	4	0	1	27	0	2	0	21	119	16	3	1198	6	0	0	866	3763	263	338	2255	1	39	430	4	672	312	608	0	0	2	1	0	0	0	51	1366	58	0	1	150	11	0	0	0	0	0	5	2	0	5	0	0	0	0	63
sim_meta-25	460	0	15922	40	60	0	0	0	0	0	58	66	3	1740	0	9	0	112	6	698	0	0	148	2524	2651	0	36	114	14	89	0	0	48	81	21	0	0	0	1	27	443	17	0	1396	24	0	0	1186	4432	232	321	2419	13	10	197	0	1468	1851	790	0	4	4	6	0	0	0	14	1285	29	9	1	42	67	0	0	1	0	0	0	0	0	31	0	1	11	0	141
sim_meta-26	260	0	16284	0	35	0	0	0	0	0	24	19	0	744	0	0	0	95	47	669	0	0	187	2137	2001	0	28	57	0	152	0	0	67	0	0	6	0	0	0	28	200	23	0	1187	4	0	0	767	3563	369	446	2050	46	1	232	0	472	255	374	0	0	3	9	0	0	0	106	1148	91	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176
sim_meta-27	474	5	17546	44	66	0	13	0	8	8	33	46	2	2563	0	1	0	92	20	654	0	0	169	2345	2217	0	9	63	0	174	0	0	47	74	24	23	13	1	0	18	354	16	0	1280	19	0	0	1270	4338	286	279	2241	21	9	211	2	1066	1212	864	0	6	0	2	3	0	0	35	1363	39	10	1	62	68	0	0	1	0	0	0	0	0	25	0	1	4	0	191
sim_meta-28	402	6	19335	3	25	0	0	0	0	0	41	26	0	1743	0	9	0	139	25	698	0	0	172	2366	2173	0	3	99	0	94	0	0	121	166	28	10	0	1	0	43	247	14	0	1274	27	0	0	1339	4318	313	542	2293	14	15	270	0	1467	1743	863	0	0	6	3	0	0	0	75	1185	58	0	3	75	73	0	0	0	0	0	0	3	11	43	5	11	7	0	222
sim_meta-29	359	3	20924	3	36	0	0	0	0	0	7	16	0	2717	11	14	1	101	7	607	0	0	157	2790	2687	0	2	76	0	54	0	0	49	89	19	24	13	0	0	28	550	20	0	1326	19	0	0	1703	4763	222	501	2312	43	31	219	0	2360	3309	1208	9	0	1	2	1	0	11	20	1337	19	0	2	84	76	0	0	1	0	0	0	6	1	3	0	0	21	0	142
sim_meta-3	277	0	13211	0	96	0	0	0	0	0	22	11	0	810	0	0	0	41	18	686	0	0	207	2155	2314	0	12	35	0	80	0	0	15	0	3	3	0	0	0	11	154	35	0	1505	1	0	0	456	3546	346	330	2079	0	9	159	0	518	73	364	0	0	1	1	0	0	0	0	1254	4	0	0	18	0	0	0	4	0	0	0	3	0	0	0	0	0	0	271
sim_meta-30	435	5	16752	119	16	0	0	0	0	0	64	99	0	2258	0	0	0	97	31	770	0	0	147	3004	2735	0	40	152	0	209	0	0	108	94	12	6	0	0	0	86	325	30	0	1439	25	0	0	996	3812	274	414	2184	2	0	236	0	638	808	779	4	0	2	9	0	0	0	129	1008	144	23	0	80	44	0	0	0	0	0	0	2	0	25	4	2	0	0	81
sim_meta-31	419	0	13841	0	77	0	2	3	8	4	33	38	2	849	0	0	0	69	23	724	0	0	197	2244	2221	0	7	14	0	79	0	0	8	2	0	10	0	0	0	22	162	14	2	1467	4	0	0	605	3753	270	411	2326	0	3	221	0	609	243	438	0	0	6	4	0	0	0	10	1399	13	2	1	29	0	0	0	4	0	0	0	0	0	1	0	0	0	0	137
sim_meta-32	398	2	18835	1	35	0	0	0	0	0	24	20	9	2742	0	21	0	150	34	715	0	0	184	1924	1849	0	5	63	45	79	0	0	51	6	1	12	3	3	3	36	433	18	0	1251	15	1	0	1622	4660	251	446	2342	26	10	264	0	1455	1765	1018	0	9	1	0	1	0	0	70	1178	111	0	2	25	85	0	0	0	0	0	0	3	7	0	0	0	2	0	223
sim_meta-33	366	4	12766	0	69	0	0	0	24	0	45	38	7	925	0	0	0	89	13	782	0	0	196	2474	2451	0	0	16	0	101	0	0	3	1	0	12	0	0	0	32	73	22	0	1300	8	0	0	503	3411	273	401	2035	2	18	266	0	492	100	419	0	0	10	5	0	0	0	0	1201	2	0	0	68	0	0	0	0	0	0	0	3	0	1	0	0	1	0	153
sim_meta-34	376	0	15609	1	32	0	0	0	35	0	15	17	0	1556	0	0	0	83	29	669	0	0	194	2225	1878	0	6	12	0	86	0	0	2	14	5	26	0	0	0	33	75	14	0	1288	4	0	0	618	3605	306	267	1838	0	5	260	0	707	462	573	0	0	4	5	0	0	0	12	1396	18	0	0	65	4	0	0	0	0	0	0	0	0	0	0	0	0	0	148
sim_meta-35	455	2	15767	80	50	0	0	3	6	0	41	25	0	1426	2	0	0	97	18	705	0	0	168	2578	2403	0	24	75	0	98	2	0	79	82	27	24	5	1	0	34	263	27	4	1271	6	0	0	1097	4066	331	394	2345	21	11	277	1	865	1222	761	0	8	2	1	2	0	0	38	1196	43	10	1	72	55	0	0	0	0	0	0	1	11	48	2	2	0	0	269
