sample	amglyccycl	arylpolyene	bacteriocin	blactam	butyrolactone	cyanobactin	ectoine	fused	head_to_tail	hserlactone	indole	ladderane	lantipeptide	lassopeptide	microviridin	nrps	oligosaccharide	other	otherks	phenazine	phosphonate	proteusin	PUFA	resorcinol	sactipeptide	siderophore	t1pks	t2pks	t3pks	terpene	thiopeptide	transatpks
sim_meta-119	0	19.43732	68.752734	0	0	0	25.265914	0	0	22.188449	0	4.5864	23.53171	9.10766	0	72.180204	0	29.38513	31.09691	0	0	0	10.28472	1.45054	0	22.55469	66.603749	4.5864	14.75227	46.71026	1.53772	4.47209
sim_meta-12	0	21.36688	97.235082	0	0	0.262032	29.87393	0	0	27.71795	0	0.269896	0	7.303537	0	95.174209	0	33.6815	6.69885	25.4203	1.78153	0	4.89375	5.156702	0	7.80166	16.735859	0	33.47344	64.364238	0	0
sim_meta-120	0	21.611136	69.971929	0	0	0.881148	14.23956	0	0	20.973126	0.863362	1.998044	19.457422	10.987288	1.685154	48.40229	0	24.877914	14.244341	1.61431	2.98561	0	7.4832	11.632496	0	18.085501	37.414751	0	17.743157	74.205766	0.377082	0
sim_meta-121	0	24.26055	105.677834	0	0	0	16.110334	0	0	31.740829	2.40401	2.68192	29.317181	11.091191	0	155.022367	0	41.018408	12.76872	3.56198	5.94698	0.980116	9.70347	8.52938	0.207624	19.338246	83.34726	0	23.910114	104.594066	0	8.9628
sim_meta-122	3.30085	27.112723	107.65839	0	5.982841	0	17.154741	1.60678	0	13.197566	0	1.96826	48.180104	11.900999	0	125.848933	0	36.677086	16.134117	3.19608	0.606467	0	2.23453	10.27916	3.18396	13.887521	58.62565	4.74615	21.131512	93.855106	1.5722	15.77511
sim_meta-123	0	37.51771	86.275482	0	0	0	22.51872	0	0	25.281963	2.15479	1.08104	22.45718	5.123905	0	138.967587	0	20.623763	6.94686	0	0	0.313185	5.54767	10.30404	0	18.627895	79.531641	1.08104	7.16627	105.10963	0	5.68247
sim_meta-124	3.31465	32.3928	84.317406	0	5.2361	0	14.873638	0	0	28.22334	0	0	32.62826	12.92896	0	108.01074	0	39.40644	8.95868	0	0	0	1.79226	0	1.21258	13.5556	20.798562	0	27.68492	66.857121	0	21.84937
sim_meta-125	0.370419	30.059845	102.887562	0	1.471788	1.03002	17.654714	0	0	30.051913	1.30875	0	10.86056	7.785694	0	82.102792	0	24.596192	17.071244	0	4.16819	0	9.276971	7.225988	3.292024	12.01768	26.538832	0	32.962848	104.736779	0	6.3394
sim_meta-126	0	31.41143	88.206675	0	0	2.73593	37.904325	0	0	28.605049	0	0	1.5315	17.318822	0	82.083151	0	22.282839	4.589058	4.62654	0	2.90664	4.589058	5.7349	0	17.452616	19.038639	1.15465	17.578564	82.344602	0	0
sim_meta-127	3.44276	32.48233	104.37818	0	3.08586	0	15.89028	3.18357	0	26.19689	0	0	10.05061	17.47809	0	72.96561	0	3.54192	15.11466	0	1.56322	0	10.38624	11.52202	3.92559	23.5952	55.07245	6.9678	29.82248	93.908174	3.17351	3.65725
