sample	amglyccycl	arylpolyene	bacteriocin	blactam	butyrolactone	cyanobactin	ectoine	hserlactone	indole	ladderane	lantipeptide	lassopeptide	linaridin	melanin	microviridin	nrps	nucleoside	oligosaccharide	other	otherks	phenazine	phosphonate	proteusin	PUFA	resorcinol	sactipeptide	siderophore	t1pks	t2pks	t3pks	terpene	thiopeptide	transatpks
sim_meta-48	4.93452	34.225718	88.935901	0	2.202057	0	20.8434909	42.634413	2.35753	2.663627	25.231511	18.131868	0	2.37733	0.51803	72.812954	3.39188	0	34.853089	6.932664	0	1.63516	0	2.8518	11.154973	0	19.821363	65.233766	6.288791	30.347054	107.641914	7.296378	0.509976
sim_meta-49	0	23.278175	62.538289	0	3.54106	0	3.12867	35.919609	0	2.06811	26.19882	7.89919	1.28699	0	4.25434	63.281908	0	0	37.610122	13.59228	3.35111	0	0	0	16.055383	0	23.236848	33.038607	2.15493	27.070841	94.408037	0.257221	4.28888
sim_meta-5	0	40.584127	72.320871	0	0	0	16.565616	38.108505	5.60393	3.092301	39.90091	4.78422	4.40161	0	0	82.594385	2.52823	2.85263	53.43989	5.48283	6.18081	0	0.775942	0	8.65202	8.78888	29.912349	24.481532	8.21509	24.274168	119.652944	0.800548	0
sim_meta-50	0	32.111642	76.5956996	0	2.265768	2.66973	12.057278	43.161221	6.14648	3.08092	6.226628	6.446843	0	0	0	80.843318	1.67027	1.46884	35.014398	6.365718	1.57868	2.82595	0.495818	0.3956	10.913553	0	31.660231	45.390415	7.18012	21.151301	122.106012	1.910497	0
sim_meta-51	0	25.0433	72.297462	0	6.42714	0	13.231666	16.506959	6.20272	1.53751	33.27268	11.09819	0	0	1.5331	121.610815	7.19045	1.47239	47.293395	18.737098	5.04582	2.578004	0.61714	0.277078	15.44365	0	19.807072	65.247438	2.71391	19.24474	96.5166196	3.87506	1.010444
sim_meta-52	3.02227	23.981961	84.235234	0	5.194867	0	6.07032	18.308075	0	10.27473	53.03962	12.62413	0	2.73699	4.41977	86.947035	5.29698	0	53.438051	34.01507	4.41934	11.65028	1.07918	5.96075	11.98016	0	19.873037	68.957264	18.88818	32.960582	137.393158	12.332944	8.45796
sim_meta-53	2.9471	41.442979	61.598792	0	0	0	14.475407	47.505482	3.24395	5.347674	20.319417	6.38295	0	0	1.44711	80.853688	0	0	46.00352	10.29902	1.33169	4.100376	1.21773	0	18.072964	0	19.236001	66.183788	10.27973	32.798153	126.081988	5.53923	2.61105
sim_meta-54	1.26527	18.865738	66.4070346	0	5.030064	0	9.605339	32.230577	6.77968	2.43328062	35.9774996	18.216375	1.217	1.38265	1.20366	101.6960258	7.08052	5.73435	49.8227568	21.50958	1.269	6.355635	0.455137	0	3.16322	0	9.76594457	70.3784477	11.3408	20.068425	108.7398151	5.921027	1.17799
sim_meta-55	0	17.442805	69.245245	0	2.53128	0	17.814216	23.87353	0	0	38.407414	14.292184	0	0	2.7866	100.45043	2.62964	0	36.435904	15.089562	0	2.85392	0	0	4.153973	0	33.180834	60.707232	8.565393	16.307496	100.786122	9.95391	4.00691
sim_meta-56	0	33.822421	63.327277	0	5.703095	0	16.81666	41.230694	11.06658	10.91351	42.766003	9.794599	0	0	0	90.138609	6.44935	7.11644	66.15201	20.73251	0	2.625225	0.449975	0	4.01443	0	29.135191	76.717366	16.33209	22.766516	136.360676	0	4.20894
sim_meta-57	2.80148	23.012995	96.5784693	0	0	0	11.339652	29.003393	0	0	42.49242	7.427445	2.11819	2.58199	0	88.408914	0	0.809696	27.74118	8.432243	0	1.69628	0	0	6.15442	0	33.49362	43.521916	0	18.417846	128.961771	2.65816	0
sim_meta-58	0	52.048971	54.373955	0	0	0	3.08184	42.803729	0	2.40882	23.402146	3.08449	0	0	0	80.270798	0	3.77794	33.94509	11.60269	5.08716	0	1.19375	0	18.76457	0	20.182344	29.934517	3.94785	17.69686	105.908177	0	0
sim_meta-59	4.1344	34.64381	72.81109	0	4.32414	0	9.91461	15.51507	3.8571	3.86328	35.58564	15.46508	0	4.35718	4.56141	136.97237	3.08353	4.10901	45.31795	8.09623	0	0	0	0	12.24461	0	53.69689	55.92759	4.10901	25.79048	134.50215	15.90666	4.40995
sim_meta-6	0	31.21196	100.905909	0	7.33178	0	9.906818	24.284943	4.00421	6.68008	37.337177	9.889056	0	0	0.87812	89.435594	1.89406	2.00436	50.539382	11.22975	0	4.174164	0	0	13.926862	2.30115	21.214045	35.281778	10.01369	25.664515	105.410433	3.79045	5.349863
